,type,address,zip,price,date
4374,RESIDENTIAL,105 WEST 72ND   STREET,10023,1750000,3/17/2017
4375,RESIDENTIAL,130 WEST 79TH STREET,10024,0,7/14/2017
4376,RESIDENTIAL,130 WEST 79TH   STREET,10024,1139000,4/14/2017
4377,RESIDENTIAL,130 WEST 79TH   STREET,10024,0,9/26/2017
4378,RESIDENTIAL,130 WEST 79TH   STREET,10024,1050000,6/22/2017
4379,RESIDENTIAL,172 WEST 79TH STREET,10024,1285000,7/26/2017
4380,RESIDENTIAL,172 WEST 79TH   STREET,10024,1175000,8/7/2017
4381,RESIDENTIAL,172 WEST 79TH   STREET,10024,1221900,12/1/2017
4382,RESIDENTIAL,172 WEST 79TH   STREET,10024,1025000,1/13/2017
4383,RESIDENTIAL,172 WEST 79TH   STREET,10024,1175000,11/29/2017
4384,RESIDENTIAL,172 WEST 79TH   STREET,10024,1476462,10/25/2017
4385,RESIDENTIAL,172 WEST 79 STREET,10024,0,2/8/2017
4386,RESIDENTIAL,10 WEST END AVENUE,10023,1700000,8/2/2017
4387,RESIDENTIAL,10 WEST END AVENUE,10023,0,5/18/2017
4388,RESIDENTIAL,10 WEST END AVENUE,10023,0,7/17/2017
4389,RESIDENTIAL,10 WEST END AVENUE,10023,0,7/17/2017
4390,RESIDENTIAL,10 WEST END AVENUE,10023,4300000,7/17/2017
4391,RESIDENTIAL,10 WEST END AVENUE,10023,1535000,9/6/2017
4392,RESIDENTIAL,10 WEST END AVENUE,10023,0,4/4/2017
4393,RESIDENTIAL,10 WEST END AVENUE,10023,0,7/17/2017
4394,RESIDENTIAL,10 WEST END AVENUE,10023,0,7/17/2017
4395,RESIDENTIAL,10 WEST END AVENUE,10023,0,7/17/2017
4396,RESIDENTIAL,10 WEST END AVENUE,10023,1110000,11/14/2017
4397,RESIDENTIAL,10 WEST END AVENUE,10023,1199000,5/17/2017
4398,RESIDENTIAL,10 WEST END AVENUE,10023,1999000,3/2/2017
4399,RESIDENTIAL,10 WEST END AVENUE,10023,0,6/26/2017
4400,RESIDENTIAL,10 WEST END AVENUE,10023,975000,11/7/2017
4401,RESIDENTIAL,10 WEST END AVENUE,10023,1880000,10/17/2017
4402,RESIDENTIAL,555 WEST 59TH   STREET,10019,1290000,6/28/2017
4403,RESIDENTIAL,555 WEST 59TH   STREET,10019,1220000,2/6/2017
4404,RESIDENTIAL,555 WEST 59TH   STREET,10019,1370000,6/27/2017
4405,RESIDENTIAL,555 WEST 59TH STREET,10019,1910000,7/5/2017
4406,RESIDENTIAL,555 WEST 59 STREET,10019,2410000,12/28/2017
